2021-07-28 15:08:24,819 INFO     Starting server at fd:fileno=0, unix:/home/maligoris/Desktop/site_on_dj/run/daphne1.sock
2021-07-28 15:08:24,820 INFO     Starting server at fd:fileno=0, unix:/home/maligoris/Desktop/site_on_dj/run/daphne0.sock
2021-07-28 15:08:24,820 INFO     Starting server at fd:fileno=0, unix:/home/maligoris/Desktop/site_on_dj/run/daphne3.sock
2021-07-28 15:08:24,820 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-07-28 15:08:24,820 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-07-28 15:08:24,820 INFO     Configuring endpoint fd:fileno=0
2021-07-28 15:08:24,820 INFO     Configuring endpoint fd:fileno=0
2021-07-28 15:08:24,821 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-07-28 15:08:24,822 INFO     Configuring endpoint fd:fileno=0
2021-07-28 15:08:24,825 INFO     Starting server at fd:fileno=0, unix:/home/maligoris/Desktop/site_on_dj/run/daphne2.sock
2021-07-28 15:08:24,825 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2021-07-28 15:08:24,825 INFO     Configuring endpoint fd:fileno=0
2021-07-28 15:08:24,846 INFO     Listening on TCP address 127.0.0.1:8000
2021-07-28 15:08:24,846 INFO     Listening on TCP address 127.0.0.1:8000
2021-07-28 15:08:24,847 INFO     Configuring endpoint unix:/home/maligoris/Desktop/site_on_dj/run/daphne1.sock
2021-07-28 15:08:24,847 INFO     Configuring endpoint unix:/home/maligoris/Desktop/site_on_dj/run/daphne0.sock
2021-07-28 15:08:24,847 INFO     Listening on TCP address 127.0.0.1:8000
2021-07-28 15:08:24,848 INFO     Configuring endpoint unix:/home/maligoris/Desktop/site_on_dj/run/daphne3.sock
2021-07-28 15:08:24,848 INFO     Listening on TCP address 127.0.0.1:8000
2021-07-28 15:08:24,850 INFO     Configuring endpoint unix:/home/maligoris/Desktop/site_on_dj/run/daphne2.sock
